"","gene_id","gene_type","gene_name"
"110","ENSG00000005882.12","protein_coding","PDK2"
"111","ENSG00000005884.18","protein_coding","ITGA3"
"112","ENSG00000005889.16","protein_coding","ZFX"
"113","ENSG00000005893.16","protein_coding","LAMP2"
"114","ENSG00000005961.19","protein_coding","ITGA2B"
"115","ENSG00000005981.13","protein_coding","ASB4"
"116","ENSG00000006007.12","protein_coding","GDE1"
"117","ENSG00000006015.18","protein_coding","REX1BD"
"118","ENSG00000006016.11","protein_coding","CRLF1"
"119","ENSG00000006025.12","protein_coding","OSBPL7"
"120","ENSG00000006042.12","protein_coding","TMEM98"
"121","ENSG00000006047.13","protein_coding","YBX2"
"122","ENSG00000006059.4","protein_coding","KRT33A"
"123","ENSG00000006062.17","protein_coding","MAP3K14"
"124","ENSG00000006071.15","protein_coding","ABCC8"
"125","ENSG00000006116.4","protein_coding","CACNG3"
"126","ENSG00000006118.15","protein_coding","TMEM132A"
"127","ENSG00000006125.18","protein_coding","AP2B1"
"128","ENSG00000006128.12","protein_coding","TAC1"
"129","ENSG00000006194.10","protein_coding","ZNF263"
"130","ENSG00000006210.7","protein_coding","CX3CL1"
"131","ENSG00000006282.21","protein_coding","SPATA20"
"132","ENSG00000006283.18","protein_coding","CACNA1G"
"133","ENSG00000006327.14","protein_coding","TNFRSF12A"
"134","ENSG00000006377.11","protein_coding","DLX6"
"135","ENSG00000006432.15","protein_coding","MAP3K9"
"136","ENSG00000006451.8","protein_coding","RALA"
"137","ENSG00000006453.14","protein_coding","BAIAP2L1"
"138","ENSG00000006459.11","protein_coding","KDM7A"
"139","ENSG00000006468.14","protein_coding","ETV1"
"140","ENSG00000006530.18","protein_coding","AGK"
"141","ENSG00000006534.16","protein_coding","ALDH3B1"
"142","ENSG00000006555.11","protein_coding","TTC22"
"143","ENSG00000006576.16","protein_coding","PHTF2"
"144","ENSG00000006606.9","protein_coding","CCL26"
"145","ENSG00000006607.14","protein_coding","FARP2"
"146","ENSG00000006611.17","protein_coding","USH1C"
"147","ENSG00000006625.18","protein_coding","GGCT"
"148","ENSG00000006634.8","protein_coding","DBF4"
"149","ENSG00000006638.13","protein_coding","TBXA2R"
"150","ENSG00000006652.15","protein_coding","IFRD1"
"151","ENSG00000006659.13","protein_coding","LGALS14"
"152","ENSG00000006695.12","protein_coding","COX10"
"153","ENSG00000006704.11","protein_coding","GTF2IRD1"
"154","ENSG00000006712.15","protein_coding","PAF1"
"155","ENSG00000006715.16","protein_coding","VPS41"
"156","ENSG00000006740.17","protein_coding","ARHGAP44"
"157","ENSG00000006744.19","protein_coding","ELAC2"
"158","ENSG00000006747.15","protein_coding","SCIN"
"159","ENSG00000006756.16","protein_coding","ARSD"
"160","ENSG00000006757.12","protein_coding","PNPLA4"
"161","ENSG00000006788.14","protein_coding","MYH13"
"162","ENSG00000006831.10","protein_coding","ADIPOR2"
"163","ENSG00000006837.12","protein_coding","CDKL3"
"164","ENSG00000007001.13","protein_coding","UPP2"
"165","ENSG00000007038.11","protein_coding","PRSS21"
"166","ENSG00000007047.15","protein_coding","MARK4"
"167","ENSG00000007062.12","protein_coding","PROM1"
"168","ENSG00000007080.11","protein_coding","CCDC124"
"169","ENSG00000007129.18","protein_coding","CEACAM21"
"170","ENSG00000007168.14","protein_coding","PAFAH1B1"
"171","ENSG00000007171.18","protein_coding","NOS2"
"172","ENSG00000007174.18","protein_coding","DNAH9"
"173","ENSG00000007202.15","protein_coding","KIAA0100"
"174","ENSG00000007216.15","protein_coding","SLC13A2"
"175","ENSG00000007237.19","protein_coding","GAS7"
"176","ENSG00000007255.10","protein_coding","TRAPPC6A"
"177","ENSG00000007264.15","protein_coding","MATK"
"178","ENSG00000007306.15","protein_coding","CEACAM7"
"179","ENSG00000007312.13","protein_coding","CD79B"
"180","ENSG00000007314.12","protein_coding","SCN4A"
"181","ENSG00000007341.19","protein_coding","ST7L"
"182","ENSG00000007350.17","protein_coding","TKTL1"
"183","ENSG00000007372.24","protein_coding","PAX6"
"184","ENSG00000007376.8","protein_coding","RPUSD1"
"185","ENSG00000007384.15","protein_coding","RHBDF1"
"186","ENSG00000007392.17","protein_coding","LUC7L"
"187","ENSG00000007402.12","protein_coding","CACNA2D2"
"188","ENSG00000007516.14","protein_coding","BAIAP3"
"189","ENSG00000007520.4","protein_coding","TSR3"
"190","ENSG00000007541.17","protein_coding","PIGQ"
"191","ENSG00000007545.16","protein_coding","CRAMP1"
"192","ENSG00000007866.22","protein_coding","TEAD3"
"193","ENSG00000007908.16","protein_coding","SELE"
"194","ENSG00000007923.16","protein_coding","DNAJC11"
"195","ENSG00000007933.13","protein_coding","FMO3"
"196","ENSG00000007944.15","protein_coding","MYLIP"
"197","ENSG00000007952.18","protein_coding","NOX1"
"198","ENSG00000007968.7","protein_coding","E2F2"
"199","ENSG00000008018.9","protein_coding","PSMB1"
"200","ENSG00000008056.14","protein_coding","SYN1"
"201","ENSG00000008083.14","protein_coding","JARID2"
"202","ENSG00000008086.13","protein_coding","CDKL5"
"203","ENSG00000008118.10","protein_coding","CAMK1G"
"204","ENSG00000008128.23","protein_coding","CDK11A"
"205","ENSG00000008130.15","protein_coding","NADK"
"206","ENSG00000008196.13","protein_coding","TFAP2B"
"207","ENSG00000008197.5","protein_coding","TFAP2D"
"208","ENSG00000008226.20","protein_coding","DLEC1"
"209","ENSG00000008256.16","protein_coding","CYTH3"
"210","ENSG00000008277.14","protein_coding","ADAM22"
"211","ENSG00000008282.9","protein_coding","SYPL1"
"212","ENSG00000008283.16","protein_coding","CYB561"
"213","ENSG00000008294.21","protein_coding","SPAG9"
"214","ENSG00000008300.17","protein_coding","CELSR3"
"215","ENSG00000008311.15","protein_coding","AASS"
"216","ENSG00000008323.15","protein_coding","PLEKHG6"
"217","ENSG00000008324.12","protein_coding","SS18L2"
"218","ENSG00000008382.16","protein_coding","MPND"
"219","ENSG00000008394.13","protein_coding","MGST1"
"220","ENSG00000008405.12","protein_coding","CRY1"
"221","ENSG00000008438.5","protein_coding","PGLYRP1"
"222","ENSG00000008441.18","protein_coding","NFIX"
"223","ENSG00000008513.16","protein_coding","ST3GAL1"
"224","ENSG00000008516.17","protein_coding","MMP25"
"225","ENSG00000008517.18","protein_coding","IL32"
"226","ENSG00000008710.20","protein_coding","PKD1"
"227","ENSG00000008735.14","protein_coding","MAPK8IP2"
"228","ENSG00000008838.20","protein_coding","MED24"
"229","ENSG00000008853.17","protein_coding","RHOBTB2"
"230","ENSG00000008869.12","protein_coding","HEATR5B"
"231","ENSG00000008952.17","protein_coding","SEC62"
"232","ENSG00000008988.11","protein_coding","RPS20"
"233","ENSG00000009307.16","protein_coding","CSDE1"
"234","ENSG00000009335.18","protein_coding","UBE3C"
"235","ENSG00000009413.16","protein_coding","REV3L"
"236","ENSG00000009694.13","protein_coding","TENM1"
"237","ENSG00000009709.12","protein_coding","PAX7"
"238","ENSG00000009724.17","protein_coding","MASP2"
"239","ENSG00000009765.15","protein_coding","IYD"
"240","ENSG00000009780.16","protein_coding","FAM76A"
"241","ENSG00000009790.15","protein_coding","TRAF3IP3"
"242","ENSG00000009830.12","protein_coding","POMT2"
"243","ENSG00000009844.16","protein_coding","VTA1"
"244","ENSG00000009950.16","protein_coding","MLXIPL"
"245","ENSG00000009954.11","protein_coding","BAZ1B"
"246","ENSG00000010017.13","protein_coding","RANBP9"
"247","ENSG00000010030.14","protein_coding","ETV7"
"248","ENSG00000010072.16","protein_coding","SPRTN"
"249","ENSG00000010165.20","protein_coding","EEF1AKNMT"
"250","ENSG00000010219.13","protein_coding","DYRK4"
"251","ENSG00000010244.19","protein_coding","ZNF207"
"252","ENSG00000010256.11","protein_coding","UQCRC1"
"253","ENSG00000010270.14","protein_coding","STARD3NL"
"254","ENSG00000010278.15","protein_coding","CD9"
"255","ENSG00000010282.15","protein_coding","HHATL"
"256","ENSG00000010292.13","protein_coding","NCAPD2"
"257","ENSG00000010295.20","protein_coding","IFFO1"
"258","ENSG00000010310.9","protein_coding","GIPR"
"259","ENSG00000010318.21","protein_coding","PHF7"
"260","ENSG00000010319.7","protein_coding","SEMA3G"
"261","ENSG00000010322.16","protein_coding","NISCH"
"262","ENSG00000010327.10","protein_coding","STAB1"
"263","ENSG00000010361.14","protein_coding","FUZ"
"264","ENSG00000010379.16","protein_coding","SLC6A13"
"265","ENSG00000010404.18","protein_coding","IDS"
"266","ENSG00000010438.17","protein_coding","PRSS3"
"267","ENSG00000010539.12","protein_coding","ZNF200"
"268","ENSG00000010610.10","protein_coding","CD4"
"269","ENSG00000010626.15","protein_coding","LRRC23"
"270","ENSG00000010671.16","protein_coding","BTK"
"271","ENSG00000010704.18","protein_coding","HFE"
"272","ENSG00000010803.16","protein_coding","SCMH1"
"273","ENSG00000010810.17","protein_coding","FYN"
"274","ENSG00000010818.10","protein_coding","HIVEP2"
"275","ENSG00000010932.17","protein_coding","FMO1"
"276","ENSG00000011007.12","protein_coding","ELOA"
"277","ENSG00000011009.11","protein_coding","LYPLA2"
"278","ENSG00000011021.23","protein_coding","CLCN6"
"279","ENSG00000011028.14","protein_coding","MRC2"
"280","ENSG00000011052.21","protein_coding","NME1-NME2"
"281","ENSG00000011083.9","protein_coding","SLC6A7"
"282","ENSG00000011105.14","protein_coding","TSPAN9"
"283","ENSG00000011114.15","protein_coding","BTBD7"
"284","ENSG00000011132.12","protein_coding","APBA3"
"285","ENSG00000011143.19","protein_coding","MKS1"
"286","ENSG00000011198.10","protein_coding","ABHD5"
"287","ENSG00000011201.12","protein_coding","ANOS1"
"288","ENSG00000011243.18","protein_coding","AKAP8L"
"289","ENSG00000011258.16","protein_coding","MBTD1"
"290","ENSG00000011260.14","protein_coding","UTP18"
"291","ENSG00000011275.19","protein_coding","RNF216"
"292","ENSG00000011295.16","protein_coding","TTC19"
"293","ENSG00000011304.22","protein_coding","PTBP1"
"294","ENSG00000011332.19","protein_coding","DPF1"
"295","ENSG00000011347.10","protein_coding","SYT7"
"296","ENSG00000011376.12","protein_coding","LARS2"
"297","ENSG00000011405.13","protein_coding","PIK3C2A"
"298","ENSG00000011422.12","protein_coding","PLAUR"
"299","ENSG00000011426.11","protein_coding","ANLN"
"300","ENSG00000011451.21","protein_coding","WIZ"
"301","ENSG00000011454.18","protein_coding","RABGAP1"
"302","ENSG00000011465.18","protein_coding","DCN"
"303","ENSG00000011478.13","protein_coding","QPCTL"
"304","ENSG00000011485.15","protein_coding","PPP5C"
"305","ENSG00000011523.14","protein_coding","CEP68"
"306","ENSG00000011566.15","protein_coding","MAP4K3"
"307","ENSG00000011590.14","protein_coding","ZBTB32"
"308","ENSG00000011600.12","protein_coding","TYROBP"
"309","ENSG00000011638.11","protein_coding","TMEM159"
"310","ENSG00000011677.13","protein_coding","GABRA3"
"311","ENSG00000012048.23","protein_coding","BRCA1"
"312","ENSG00000012061.16","protein_coding","ERCC1"
"313","ENSG00000012124.17","protein_coding","CD22"
"314","ENSG00000012171.20","protein_coding","SEMA3B"
"315","ENSG00000012174.12","protein_coding","MBTPS2"
"316","ENSG00000012211.13","protein_coding","PRICKLE3"
"317","ENSG00000012223.13","protein_coding","LTF"
"318","ENSG00000012232.9","protein_coding","EXTL3"
"319","ENSG00000012504.15","protein_coding","NR1H4"
"320","ENSG00000012660.14","protein_coding","ELOVL5"
"321","ENSG00000012779.11","protein_coding","ALOX5"
"322","ENSG00000012817.16","protein_coding","KDM5D"
"323","ENSG00000012822.16","protein_coding","CALCOCO1"
"324","ENSG00000012963.15","protein_coding","UBR7"
"325","ENSG00000012983.11","protein_coding","MAP4K5"
"326","ENSG00000013016.16","protein_coding","EHD3"
"327","ENSG00000013275.8","protein_coding","PSMC4"
"328","ENSG00000013288.9","protein_coding","MAN2B2"
"329","ENSG00000013293.6","protein_coding","SLC7A14"
"330","ENSG00000013297.12","protein_coding","CLDN11"
"331","ENSG00000013306.16","protein_coding","SLC25A39"
"332","ENSG00000013364.19","protein_coding","MVP"
"333","ENSG00000013374.16","protein_coding","NUB1"
"334","ENSG00000013375.16","protein_coding","PGM3"
"335","ENSG00000013392.8","protein_coding","RWDD2A"
"336","ENSG00000013441.16","protein_coding","CLK1"
"337","ENSG00000013503.10","protein_coding","POLR3B"
"338","ENSG00000013523.11","protein_coding","ANGEL1"
"339","ENSG00000013561.18","protein_coding","RNF14"
"340","ENSG00000013563.14","protein_coding","DNASE1L1"
"341","ENSG00000013573.17","protein_coding","DDX11"
"342","ENSG00000013583.10","protein_coding","HEBP1"
"343","ENSG00000013588.9","protein_coding","GPRC5A"
"344","ENSG00000013619.14","protein_coding","MAMLD1"
"345","ENSG00000013725.14","protein_coding","CD6"
"346","ENSG00000013810.20","protein_coding","TACC3"
"347","ENSG00000014123.10","protein_coding","UFL1"
"348","ENSG00000014138.9","protein_coding","POLA2"
"349","ENSG00000014164.7","protein_coding","ZC3H3"
"350","ENSG00000014216.16","protein_coding","CAPN1"
"351","ENSG00000014257.16","protein_coding","ACP3"
"352","ENSG00000014641.21","protein_coding","MDH1"
"353","ENSG00000014824.14","protein_coding","SLC30A9"
"354","ENSG00000014914.21","protein_coding","MTMR11"
"355","ENSG00000014919.13","protein_coding","COX15"
"356","ENSG00000015133.19","protein_coding","CCDC88C"
"357","ENSG00000015153.15","protein_coding","YAF2"
"358","ENSG00000015171.20","protein_coding","ZMYND11"
"359","ENSG00000015285.11","protein_coding","WAS"
"360","ENSG00000015413.9","protein_coding","DPEP1"
"361","ENSG00000015475.19","protein_coding","BID"
"362","ENSG00000015479.20","protein_coding","MATR3"
"363","ENSG00000015520.15","protein_coding","NPC1L1"
"364","ENSG00000015532.10","protein_coding","XYLT2"
"365","ENSG00000015568.13","protein_coding","RGPD5"
"366","ENSG00000015592.16","protein_coding","STMN4"
"367","ENSG00000015676.18","protein_coding","NUDCD3"
"368","ENSG00000016082.15","protein_coding","ISL1"
"369","ENSG00000016391.11","protein_coding","CHDH"
"370","ENSG00000016402.13","protein_coding","IL20RA"
"371","ENSG00000016490.16","protein_coding","CLCA1"
"372","ENSG00000016602.9","protein_coding","CLCA4"
"373","ENSG00000016864.18","protein_coding","GLT8D1"
"374","ENSG00000017260.20","protein_coding","ATP2C1"
"375","ENSG00000017427.17","protein_coding","IGF1"
"376","ENSG00000017483.15","protein_coding","SLC38A5"
"377","ENSG00000017797.13","protein_coding","RALBP1"
"378","ENSG00000018189.13","protein_coding","RUFY3"
"379","ENSG00000018236.15","protein_coding","CNTN1"
"380","ENSG00000018280.17","protein_coding","SLC11A1"
"381","ENSG00000018408.15","protein_coding","WWTR1"
"382","ENSG00000018510.17","protein_coding","AGPS"
"383","ENSG00000018607.7","transcribed_unprocessed_pseudogene","ZNF806"
"384","ENSG00000018610.15","protein_coding","CXorf56"
"385","ENSG00000018625.15","protein_coding","ATP1A2"
"386","ENSG00000018699.13","protein_coding","TTC27"
"387","ENSG00000018869.17","protein_coding","ZNF582"
"388","ENSG00000019102.12","protein_coding","VSIG2"
"389","ENSG00000019144.19","protein_coding","PHLDB1"
"390","ENSG00000019169.10","protein_coding","MARCO"
"391","ENSG00000019186.10","protein_coding","CYP24A1"
"392","ENSG00000019485.13","protein_coding","PRDM11"
"393","ENSG00000019505.8","protein_coding","SYT13"
"394","ENSG00000019549.13","protein_coding","SNAI2"
"395","ENSG00000019582.15","protein_coding","CD74"
"396","ENSG00000019991.18","protein_coding","HGF"
"397","ENSG00000019995.6","protein_coding","ZRANB1"
"398","ENSG00000020129.16","protein_coding","NCDN"
"399","ENSG00000020181.18","protein_coding","ADGRA2"
"400","ENSG00000020219.9","processed_pseudogene","CCT8L1P"
"401","ENSG00000020256.20","protein_coding","ZFP64"
"402","ENSG00000020426.11","protein_coding","MNAT1"
"403","ENSG00000020577.14","protein_coding","SAMD4A"
"404","ENSG00000020633.19","protein_coding","RUNX3"
"405","ENSG00000020922.13","protein_coding","MRE11"
"406","ENSG00000021300.14","protein_coding","PLEKHB1"
"407","ENSG00000021355.13","protein_coding","SERPINB1"
"408","ENSG00000021461.17","protein_coding","CYP3A43"
"409","ENSG00000021488.13","protein_coding","SLC7A9"
"410","ENSG00000021574.13","protein_coding","SPAST"
"411","ENSG00000021645.20","protein_coding","NRXN3"
"412","ENSG00000021762.20","protein_coding","OSBPL5"
"413","ENSG00000021776.11","protein_coding","AQR"
"414","ENSG00000021826.17","protein_coding","CPS1"
"415","ENSG00000021852.13","protein_coding","C8B"
"416","ENSG00000022267.19","protein_coding","FHL1"
"417","ENSG00000022277.13","protein_coding","RTF2"
"418","ENSG00000022355.18","protein_coding","GABRA1"
"419","ENSG00000022556.16","protein_coding","NLRP2"
"420","ENSG00000022567.10","protein_coding","SLC45A4"
"421","ENSG00000022840.16","protein_coding","RNF10"
"422","ENSG00000022976.15","protein_coding","ZNF839"
"423","ENSG00000023041.11","protein_coding","ZDHHC6"
"424","ENSG00000023171.18","protein_coding","GRAMD1B"
"425","ENSG00000023191.17","protein_coding","RNH1"
"426","ENSG00000023228.14","protein_coding","NDUFS1"
"427","ENSG00000023287.13","protein_coding","RB1CC1"
"428","ENSG00000023318.8","protein_coding","ERP44"
"429","ENSG00000023330.15","protein_coding","ALAS1"
"430","ENSG00000023445.16","protein_coding","BIRC3"
"431","ENSG00000023516.9","protein_coding","AKAP11"
"432","ENSG00000023572.10","protein_coding","GLRX2"
"433","ENSG00000023608.5","protein_coding","SNAPC1"
"434","ENSG00000023697.13","protein_coding","DERA"
"435","ENSG00000023734.11","protein_coding","STRAP"
"436","ENSG00000023839.12","protein_coding","ABCC2"
"437","ENSG00000023892.11","protein_coding","DEF6"
"438","ENSG00000023902.14","protein_coding","PLEKHO1"
"439","ENSG00000023909.10","protein_coding","GCLM"
"440","ENSG00000024048.11","protein_coding","UBR2"
"441","ENSG00000024422.12","protein_coding","EHD2"
"442","ENSG00000024526.17","protein_coding","DEPDC1"
"443","ENSG00000024862.18","protein_coding","CCDC28A"
"444","ENSG00000025039.15","protein_coding","RRAGD"
"445","ENSG00000025156.13","protein_coding","HSF2"
"446","ENSG00000025293.17","protein_coding","PHF20"
"447","ENSG00000025423.11","protein_coding","HSD17B6"
"448","ENSG00000025434.19","protein_coding","NR1H3"
"449","ENSG00000025708.14","protein_coding","TYMP"
"450","ENSG00000025770.19","protein_coding","NCAPH2"
"451","ENSG00000025772.8","protein_coding","TOMM34"
"452","ENSG00000025796.14","protein_coding","SEC63"
"453","ENSG00000025800.14","protein_coding","KPNA6"
"454","ENSG00000026025.16","protein_coding","VIM"
"455","ENSG00000026036.22","protein_coding","RTEL1-TNFRSF6B"
"456","ENSG00000026103.22","protein_coding","FAS"
"457","ENSG00000026297.16","protein_coding","RNASET2"
"458","ENSG00000026508.20","protein_coding","CD44"
"459","ENSG00000026559.14","protein_coding","KCNG1"
"460","ENSG00000026652.15","protein_coding","AGPAT4"
"461","ENSG00000026751.17","protein_coding","SLAMF7"
"462","ENSG00000026950.17","protein_coding","BTN3A1"
"463","ENSG00000027001.10","protein_coding","MIPEP"
"464","ENSG00000027075.15","protein_coding","PRKCH"
"465","ENSG00000027644.5","protein_coding","INSRR"
"466","ENSG00000027697.15","protein_coding","IFNGR1"
"467","ENSG00000027847.14","protein_coding","B4GALT7"
"468","ENSG00000027869.12","protein_coding","SH2D2A"
"469","ENSG00000028116.18","protein_coding","VRK2"
"470","ENSG00000028137.19","protein_coding","TNFRSF1B"
"471","ENSG00000028203.18","protein_coding","VEZT"
"472","ENSG00000028277.21","protein_coding","POU2F2"
"473","ENSG00000028310.18","protein_coding","BRD9"
"474","ENSG00000028528.15","protein_coding","SNX1"
"475","ENSG00000028839.10","protein_coding","TBPL1"
"476","ENSG00000029153.14","protein_coding","ARNTL2"
"477","ENSG00000029363.17","protein_coding","BCLAF1"
"478","ENSG00000029364.12","protein_coding","SLC39A9"
"479","ENSG00000029534.21","protein_coding","ANK1"
"480","ENSG00000029559.7","protein_coding","IBSP"
"481","ENSG00000029639.11","protein_coding","TFB1M"
"482","ENSG00000029725.17","protein_coding","RABEP1"
"483","ENSG00000029993.15","protein_coding","HMGB3"
"484","ENSG00000030066.13","protein_coding","NUP160"
"485","ENSG00000030110.13","protein_coding","BAK1"
"486","ENSG00000030304.14","protein_coding","MUSK"
"487","ENSG00000030419.16","protein_coding","IKZF2"
"488","ENSG00000030582.18","protein_coding","GRN"
"489","ENSG00000031003.10","protein_coding","FAM13B"
"490","ENSG00000031081.11","protein_coding","ARHGAP31"
"491","ENSG00000031691.7","protein_coding","CENPQ"
"492","ENSG00000031698.13","protein_coding","SARS1"
"493","ENSG00000031823.14","protein_coding","RANBP3"
"494","ENSG00000032219.19","protein_coding","ARID4A"
"495","ENSG00000032389.13","protein_coding","EIPR1"
"496","ENSG00000032444.17","protein_coding","PNPLA6"
"497","ENSG00000032742.18","protein_coding","IFT88"
"498","ENSG00000033011.13","protein_coding","ALG1"
"499","ENSG00000033030.15","protein_coding","ZCCHC8"
"500","ENSG00000033050.9","protein_coding","ABCF2"
"501","ENSG00000033100.16","protein_coding","CHPF2"
"502","ENSG00000033122.21","protein_coding","LRRC7"
"503","ENSG00000033170.17","protein_coding","FUT8"
"504","ENSG00000033178.13","protein_coding","UBA6"
"505","ENSG00000033327.13","protein_coding","GAB2"
"506","ENSG00000033627.17","protein_coding","ATP6V0A1"
"507","ENSG00000033800.14","protein_coding","PIAS1"
"508","ENSG00000033867.16","protein_coding","SLC4A7"
"509","ENSG00000034053.14","protein_coding","APBA2"
"510","ENSG00000034152.19","protein_coding","MAP2K3"
"511","ENSG00000034239.11","protein_coding","EFCAB1"
"512","ENSG00000034510.6","protein_coding","TMSB10"
"513","ENSG00000034533.12","protein_coding","ASTE1"
"514","ENSG00000034677.13","protein_coding","RNF19A"
"515","ENSG00000034693.15","protein_coding","PEX3"
"516","ENSG00000034713.8","protein_coding","GABARAPL2"
"517","ENSG00000034971.17","protein_coding","MYOC"
"518","ENSG00000035115.22","protein_coding","SH3YL1"
